Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Company Size,Year
Data Engineer,Full-Time,Senior,Expert,210000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,165000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,185900,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,129300,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,140000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,126000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,170000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,130000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,85000,British Pound Sterling,United Kingdom,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,75000,British Pound Sterling,United Kingdom,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,208500,United States Dollar,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,165000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,72000,Euro,Germany,Large,2023
Data Engineer,Full-Time,Senior,Expert,80000,Euro,Sweden,Large,2023
Business Intelligence Developer,Full-Time,Senior,Expert,169000,United States Dollar,United States,Medium,2023
Business Intelligence Developer,Full-Time,Senior,Expert,110600,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,185900,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,129300,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,225000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,156400,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,309000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,142000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,204500,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,138900,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,323300,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,184700,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,247500,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,172200,United States Dollar,United States,Medium,2023
Decision Scientist,Full-Time,Senior,Expert,204500,United States Dollar,United States,Medium,2023
Decision Scientist,Full-Time,Senior,Expert,142200,United States Dollar,United States,Medium,2023
Machine Learning Software Engineer,Full-Time,Mid,Intermediate,2000000,Indian Rupee,India,Large,2023
BI Developer,Full-Time,Senior,Expert,135000,United States Dollar,United States,Medium,2023
BI Developer,Full-Time,Senior,Expert,110000,United States Dollar,United States,Medium,2023
Machine Learning Scientist,Full-Time,Senior,Expert,180514,United States Dollar,United Kingdom,Medium,2023
Machine Learning Scientist,Full-Time,Senior,Expert,108308,United States Dollar,United Kingdom,Medium,2023
BI Analyst,Full-Time,Senior,Expert,118800,United States Dollar,United States,Medium,2023
BI Analyst,Full-Time,Senior,Expert,75000,United States Dollar,United States,Medium,2023
Data Manager,Full-Time,Senior,Expert,145000,United States Dollar,United States,Medium,2023
Data Manager,Full-Time,Senior,Expert,130000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,180514,United States Dollar,United Kingdom,Medium,2023
Data Engineer,Full-Time,Senior,Expert,108308,United States Dollar,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,193600,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,119700,United States Dollar,United States,Medium,2023
BI Analyst,Full-Time,Senior,Expert,130800,United States Dollar,United States,Medium,2023
BI Analyst,Full-Time,Senior,Expert,87200,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,215000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,150000,United States Dollar,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Executive,Director,247500,United States Dollar,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Executive,Director,172200,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,50000,British Pound Sterling,United Kingdom,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,40000,British Pound Sterling,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,204500,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,142200,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,169000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,110600,United States Dollar,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,238000,United States Dollar,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,173000,United States Dollar,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,225000,United States Dollar,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,Expert,156400,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Executive,Director,205785,United States Dollar,United Kingdom,Medium,2023
Data Engineer,Full-Time,Executive,Director,123471,United States Dollar,United Kingdom,Medium,2023
Data Science Manager,Full-Time,Senior,Expert,299500,United States Dollar,United States,Medium,2023
Data Science Manager,Full-Time,Senior,Expert,245100,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,153600,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,106800,United States Dollar,United States,Medium,2023
AI Programmer,Full-Time,Entry,Junior,40000,United States Dollar,"Korea, Republic of",Small,2023
Data Scientist,Full-Time,Senior,Expert,66000,Euro,Spain,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,125000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,90000,United States Dollar,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,290000,United States Dollar,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,226000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,222200,United States Dollar,United States,Large,2023
Applied Scientist,Full-Time,Senior,Expert,136000,United States Dollar,United States,Large,2023
Data Scientist,Full-Time,Senior,Expert,161000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,151000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,49200,Euro,Estonia,Medium,2023
Data Analyst,Full-Time,Senior,Expert,36000,Euro,Estonia,Medium,2023
Data Engineer,Full-Time,Senior,Expert,136994,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,101570,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,214500,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,150000,United States Dollar,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,150000,United States Dollar,United States,Medium,2023
Analytics Engineer,Full-Time,Senior,Expert,120000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,278300,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,205700,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,185900,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,167310,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,114000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,100000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,260000,United States Dollar,United States,Large,2023
Data Engineer,Full-Time,Senior,Expert,162000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,111000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,225500,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,139400,United States Dollar,United States,Medium,2023
Data Analytics Manager,Full-Time,Mid,Intermediate,177000,United States Dollar,United States,Medium,2023
Data Analytics Manager,Full-Time,Mid,Intermediate,110000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,120350,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,74400,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,194000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,161000,United States Dollar,United States,Medium,2023
Research Engineer,Full-Time,Entry,Junior,30000,Euro,France,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,184950,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,119250,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,178500,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,136000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,189000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,159090,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,91000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,82000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,149076,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,82365,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,192000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,164000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,175000,United States Dollar,United States,Medium,2023
